card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
667,What is NAC?,"Network Access Control (NAC) is a concept of controlling access to an environment through strict adherence to and implementation of security policy. The goals of NAC are to prevent/reduce zero‐day attacks, to enforce security policy throughout the network, and to use identities to perform access control.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,NAC network access control component
668,What is NAT66?,"NAT66 allows multiple devices within a private IPv6 network to share the same public IPv6 address when communicating with external networks, such as the Internet. NAT66 provides a level of privacy and security by hiding internal network details from external entities. It assigns global IPv6 addresses to devices within the private network, and external entities see only the public IPv6 address.",12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,NAT66 is NAT network address translation Ch12
669,What is NAT?,Network Address Translation (NAT) allows the private IP addresses defined in RFC 1918 to be used in a private network while still being able to communicate with the Internet.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,NAT is named Ch12 section
670,What is need to know?,"Need to know is the requirement to have access to, knowledge of, or possession of data or a resource in order to perform specific work tasks.",16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Need-to-know; consolidated with least-privilege ops
671,What is Nessus?,An example of a vulnerability scanner,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Nessus is vulnerability scanner Ch15
672,What is NFC?,Near‐field communication (NFC) is a standard that establishes radio communications between devices in close proximity. It lets you perform a type of automatic synchronization and association between devices by touching them together or bringing them within inches of each other.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,NFC is wireless communication standard
673,What is nmap?,"The most common tool used for network discovery scanning is an open source tool called nmap. Originally released in 1997, nmap is remarkably still maintained and in general use today. It remains one of the most popular network security tools, and almost every security professional either uses nmap regularly or used it at some point in their career.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,nmap is network discovery scanning tool
674,What is nonrepudiation?,"Nonrepudiation prevents a subject from claiming not to have sent a message, not to have performed an action, or not to have been the cause of an event.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Nonrepudiation is CIA-related security concept Ch1
675,What is OAuth?,"OAuth is an open SSO standard designed to work with HTTP, and it allows users to log on with one account. For example, users can log on to their Google account and use the same account to access Facebook and other sites and online services.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,OAuth is SSO federation standard Ch13
676,What is offboarding?,Offboarding is the removal of an employee's identity from the identity and access management (IAM) system once that person has left the organization.,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Offboarding is identity provisioning lifecycle
677,What is onboarding?,Onboarding is the process of adding new employees to the identity and access management (IAM) system of an organization. The onboarding process is also used when an employee's role or position changes or when that person is awarded additional levels of privilege or access.,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Onboarding is identity provisioning lifecycle
678,What is OpenID Connect (OIDC)?,"OpenID Connect (OIDC) is an authentication layer using the OAuth 2.0 authorization framework. A key point is that it provides both authentication and authorization. OIDC is maintained by the OpenID Foundation. OIDC uses a JavaScript Object Notation (JSON) Web Token (JWT), also called an ID token.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,OIDC is authentication federation standard Ch13
